Time_s,Position_deg,Velocity_degs,Target_deg,Direction,Trigger
1.9870036,996.987,-0.048,0,1,0
2.0013482,996.987,-0.048,0,1,0
2.0173143,996.987,-0.048,0,1,0
2.0327086,996.987,-0.048,0,1,0
2.0905247,996.987,-0.048,0,1,0
2.0926209,996.987,-0.048,0,1,0
2.094713,996.987,-0.048,0,1,0
2.0963636,996.987,-0.048,0,1,0
2.1094192,996.987,-0.048,0,1,0
2.1106687,996.987,-0.048,0,1,0
2.1250683,996.987,-0.048,0,1,0
2.1407479,996.987,-0.048,0,1,0
2.210434,996.987,-0.048,0,1,0
2.2133722,996.987,-0.048,0,1,0
2.2145951,996.987,-0.048,0,1,0
2.2158298,996.987,-0.048,0,1,0
2.2194339,996.987,-0.048,0,1,0
2.2343057,996.987,-0.048,0,1,0
2.2497619,996.987,-0.048,0,1,0
2.251036,996.987,-0.048,0,1,0
2.2649592,996.987,-0.048,0,1,0
2.3300141,996.987,-0.048,0,1,0
2.3321279,996.987,-0.048,0,1,0
2.3329858,996.987,-0.048,0,1,0
2.3337515,996.987,-0.048,0,1,0
2.342565,996.987,-0.048,0,1,0
2.3599343,996.987,-0.048,0,1,0
2.3735137,996.987,-0.048,0,1,0
2.4467494,996.987,-0.048,0,1,0
2.4490985,996.987,-0.048,0,1,0
2.451224,996.987,-0.048,0,1,0
2.4524308,996.987,-0.048,0,1,0
2.4533625,996.987,-0.048,0,1,0
2.4548007,996.987,-0.048,0,1,0
2.4665227,996.987,-0.048,0,1,0
2.4822663,996.987,-0.048,0,1,0
2.4978497,996.987,-0.048,0,1,0
2.5540115,996.987,-0.048,0,1,0
2.5554014,996.987,-0.048,0,1,0
2.5562181,996.987,-0.048,0,1,0
2.5571691,996.987,-0.048,0,1,0
2.5592042,996.987,-0.048,0,1,0
2.5736379,996.987,-0.048,0,1,0
2.5894155,996.987,-0.048,0,1,0
2.6045145,996.987,-0.048,0,1,0
2.6640656,996.987,-0.048,0,1,0
2.6664458,996.987,-0.048,0,1,0
2.6685216,996.987,-0.048,0,1,0
2.6702447,996.987,-0.048,0,1,0
2.6820394,996.987,-0.048,0,1,0
2.6833279,996.987,-0.048,0,1,0
2.6974984,996.987,-0.048,0,1,0
2.7126137,996.987,-0.048,0,1,0
2.7691844,996.987,-0.048,0,1,0
2.7707268,996.987,-0.048,0,1,0
2.7717793,996.987,-0.048,0,1,0
2.7741833,996.987,-0.048,0,1,0
2.7891456,996.987,-0.048,0,1,0
2.8044385,996.987,-0.048,0,1,0
2.8204742,996.987,-0.048,0,1,0
2.8894115,996.987,-0.048,0,1,0
2.8914194,996.987,-0.048,0,1,0
2.8932005,996.987,-0.048,0,1,0
2.8941305,996.987,-0.048,0,1,0
2.8948902,996.987,-0.048,0,1,0
2.8982582,996.987,-0.048,0,1,0
2.9134778,996.987,-0.048,0,1,0
2.9287917,996.987,-0.048,0,1,0
2.9442044,996.987,-0.048,0,1,0
3.0162553,996.987,-0.048,0,1,0
3.0185423,996.987,-0.048,0,1,0
3.020006,996.987,-0.048,0,1,0
3.0210072,996.987,-0.048,0,1,0
3.02181,996.987,-0.048,0,1,0
3.0226022,996.987,-0.048,0,1,0
3.0375537,996.987,-0.048,0,1,0
3.0535838,996.987,-0.048,0,1,0
3.0688031,996.987,-0.048,0,1,0
3.1276816,996.987,-0.048,0,1,0
3.1293602,996.987,-0.048,0,1,0
3.1300363,996.987,-0.048,0,1,0
3.1310622,996.987,-0.048,0,1,0
3.1322613,996.987,-0.048,0,1,0
3.146922,996.987,-0.048,0,1,0
3.1624198,996.987,-0.048,0,1,0
3.1767531,996.987,-0.048,0,1,0
3.2416165,996.987,-0.048,0,1,0
3.2435416,996.987,-0.048,0,1,0
3.2467992,996.987,-0.048,0,1,0
3.2478616,996.987,-0.048,0,1,0
3.2553377,996.987,-0.048,0,1,0
3.2565088,996.987,-0.048,0,1,0
3.2712399,996.987,-0.048,0,1,0
3.2865272,996.987,-0.048,0,1,0
3.3399945,996.987,-0.048,0,1,0
3.3412928,996.987,-0.048,0,1,0
3.3419802,996.987,-0.048,0,1,0
3.3509755,996.987,-0.048,0,1,0
3.3656757,996.987,-0.048,0,1,0
3.3821171,996.987,-0.048,0,1,0
3.3832312,996.987,-0.048,0,1,0
3.4385068,996.987,-0.048,0,1,0
3.4404361,996.987,-0.048,0,1,0
3.4414208,996.987,-0.048,0,1,0
3.4442525,996.987,-0.048,0,1,0
3.4592748,996.987,-0.048,0,1,0
3.4750974,996.987,-0.048,0,1,0
3.4905607,996.987,-0.048,0,1,0
3.5484169,996.987,-0.048,0,1,0
3.5495872,996.987,-0.048,0,1,0
3.5501973,996.987,-0.048,0,1,0
3.550818,996.987,-0.048,0,1,0
3.5523313,996.987,-0.048,0,1,0
3.567162,996.987,-0.048,0,1,0
3.5820607,996.987,-0.048,0,1,0
3.5984889,996.987,-0.048,0,1,0
3.6565518,996.987,-0.048,0,1,0
3.6588562,996.987,-0.048,0,1,0
3.6608513,996.987,-0.048,0,1,0
3.6623271,996.987,-0.048,0,1,0
3.663441,996.987,-0.048,0,1,0
3.675968,996.987,-0.048,0,1,0
3.6921039,996.987,-0.048,0,1,0
3.7075464,996.987,-0.048,0,1,0
3.7658361,996.987,-0.048,0,1,0
3.7676856,994.443,-147.324,0,1,0
3.7684459,939.252,-1621.047,0,1,0
3.7704555,912.658,-1293.749,0,1,0
3.7857158,870.033,-913.932,0,1,0
3.7871516,818.064,-1642.02,0,1,0
3.801029,779.336,-2325.913,0,1,0
